refArea,Existence of educational resources - exists,Type and size of educational resources - vocational institute,Observation URI,references,publisher,Existence of educational resources - does not exist,Nb of universities by type - Lebanese University branches,Public school coverage index (number of schools per citizen),Type and size of educational resources - public schools,Type and size of educational resources - universities,Town,Nb of universities by type - Private universities,dataset,Type and size of educational resources - private schools
http://dbpedia.org/resource/Tyre_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Dhayra,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Dhayra,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
https://dbpedia.org/page/North_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Dhour+el+hawa,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Dhour el hawa,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Dibbabiyeh,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,1300,1,0,Dibbabiyeh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
http://dbpedia.org/resource/Marjeyoun_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Dibbine,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Dibbine,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
https://dbpedia.org/page/Mount_Lebanon_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Dibbiyeh,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,1,0,0,2,Dibbiyeh,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,2
http://dbpedia.org/resource/Matn_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Dik+El-Mehdi,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,1,Dik El-Mehdi,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,2
http://dbpedia.org/resource/Bsharri_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Dimane,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Dimane,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
http://dbpedia.org/resource/Keserwan_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Dlebta,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,Dlebta,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Dmit,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Dmit,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Douair+Aadouiyeh,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,Douair Aadouiyeh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
https://dbpedia.org/page/Nabatieh_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Douair+En-Nabatiyeh,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,Douair En-Nabatiyeh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
http://dbpedia.org/resource/Batroun_District,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Douma,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,1600,2,0,Douma,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
https://dbpedia.org/page/Baalbek-Hermel_Governorate,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Douris,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,2,9450,2,2,Douris,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,5
http://dbpedia.org/resource/Batroun_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Edde+El-Batroun,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,1250,1,0,Edde El-Batroun,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,1
http://dbpedia.org/resource/Byblos_District,1,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Eddeh+Jbeil,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,Eddeh Jbeil,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
http://dbpedia.org/resource/Keserwan_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Eghbe,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Eghbe,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
http://dbpedia.org/resource/Byblos_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Ehmej,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,2250,2,0,Ehmej,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,1
https://dbpedia.org/page/Akkar_Governorate,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Ein+el+Dahab,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,5000,3,0,Ein el Dahab,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,4
https://dbpedia.org/page/Baalbek-Hermel_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-El+Ain,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,9000,2,0,El Ain,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,4
http://dbpedia.org/resource/Matn_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-El+Ghabe,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,El Ghabe,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
http://dbpedia.org/resource/Hasbaya_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-El+Kfeir,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,1425,2,0,El Kfeir,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,1
http://dbpedia.org/resource/Western_Beqaa_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-El+Manara,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,El Manara,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
http://dbpedia.org/resource/Western_Beqaa_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-El+Marej,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,El Marej,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,1,4,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-En-Nahriyyi,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,81,6,0,En-Nahriyyi,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,9
https://dbpedia.org/page/North_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Enfeh,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,3500,2,0,Enfeh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
http://dbpedia.org/resource/Sidon_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Erkay,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,Erkay,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
http://dbpedia.org/resource/Baabda_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Falougha,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,Falougha,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
http://dbpedia.org/resource/Matn_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Fanar,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,2,0,0,2,Fanar,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,4
http://dbpedia.org/resource/Keserwan_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Faraya,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Faraya,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Fard,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,950,1,0,Fard,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
http://dbpedia.org/resource/Hasbaya_District,1,3,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Fardis+Hasbaiya,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,110,10,0,Fardis Hasbaiya,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,7
http://dbpedia.org/resource/Keserwan_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Fatqa,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,Fatqa,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,1
http://dbpedia.org/resource/Byblos_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Fatre,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Fatre,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
http://dbpedia.org/resource/Keserwan_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Faytroun,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,Faytroun,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
https://dbpedia.org/page/Baalbek-Hermel_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Fekehe,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,4500,4,0,Fekehe,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,5
http://dbpedia.org/resource/Byblos_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Ferhet,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Ferhet,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
http://dbpedia.org/resource/Byblos_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Fghal,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Fghal,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
https://dbpedia.org/page/North_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Fiaa,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,Fiaa,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,1
http://dbpedia.org/resource/Zahl̩_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Fikani,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,3700,1,0,Fikani,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
http://dbpedia.org/resource/Hermel_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Fisan,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,950,1,0,Fisan,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Fnaydek,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,8500,4,0,Fnaydek,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,4
https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Fouara,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Fouara,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
http://dbpedia.org/resource/Zahl̩_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Fourzol,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,Fourzol,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Fraides,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,750,1,0,Fraides,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
http://dbpedia.org/resource/Matn_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Fraikeh,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Fraikeh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
